
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_D79P
Command line:
  gmx mdrun -v -deffnm O52681_D79P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_D79P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  3.19524e+06 Fmax= 5.66995e+08, atom= 1881
Step=  103, Dmax= 1.2e-02 nm, Epot= -5.05518e+05 Fmax= 9.74821e+03, atom= 1746
Step=  104, Dmax= 1.5e-02 nm, Epot= -5.05539e+05 Fmax= 1.29912e+04, atom= 1746
Step=  105, Dmax= 1.8e-02 nm, Epot= -5.05616e+05 Fmax= 1.42617e+04, atom= 1746
Step=  106, Dmax= 2.1e-02 nm, Epot= -5.05522e+05 Fmax= 1.84391e+04, atom= 1746
Step=  107, Dmax= 1.1e-02 nm, Epot= -5.06055e+05 Fmax= 2.09952e+03, atom= 1746
Step=  108, Dmax= 1.3e-02 nm, Epot= -5.06128e+05 Fmax= 1.76888e+04, atom= 1746
Step=  109, Dmax= 1.5e-02 nm, Epot= -5.06686e+05 Fmax= 5.96649e+03, atom= 1746
Step=  110, Dmax= 1.8e-02 nm, Epot= -5.06220e+05 Fmax= 2.23151e+04, atom= 1746
Step=  111, Dmax= 9.2e-03 nm, Epot= -5.06782e+05 Fmax= 8.19354e+03, atom= 1746
Step=  112, Dmax= 1.1e-02 nm, Epot= -5.06893e+05 Fmax= 8.80084e+03, atom= 1746
Step=  113, Dmax= 1.3e-02 nm, Epot= -5.06944e+05 Fmax= 1.15715e+04, atom= 1746
Step=  114, Dmax= 1.6e-02 nm, Epot= -5.07022e+05 Fmax= 1.28881e+04, atom= 1746
Step=  115, Dmax= 1.9e-02 nm, Epot= -5.06997e+05 Fmax= 1.63980e+04, atom= 1746
Step=  116, Dmax= 9.6e-03 nm, Epot= -5.07345e+05 Fmax= 1.77959e+03, atom= 1746
