
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128Y
Command line:
  gmx mdrun -v -deffnm O52681_V128Y_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128Y_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  1.92742e+08 Fmax= 6.97017e+10, atom= 2009
Step=  110, Dmax= 7.7e-03 nm, Epot= -5.04532e+05 Fmax= 2.50802e+03, atom= 1334
Step=  111, Dmax= 9.2e-03 nm, Epot= -5.04702e+05 Fmax= 1.13418e+04, atom= 1334
Step=  112, Dmax= 1.1e-02 nm, Epot= -5.05008e+05 Fmax= 5.65791e+03, atom= 1334
Step=  113, Dmax= 1.3e-02 nm, Epot= -5.04903e+05 Fmax= 1.44910e+04, atom= 1334
Step=  114, Dmax= 6.6e-03 nm, Epot= -5.05161e+05 Fmax= 4.41922e+03, atom= 1334
Step=  115, Dmax= 8.0e-03 nm, Epot= -5.05273e+05 Fmax= 7.89286e+03, atom= 1334
Step=  116, Dmax= 9.6e-03 nm, Epot= -5.05437e+05 Fmax= 6.65210e+03, atom= 1334
Step=  117, Dmax= 1.1e-02 nm, Epot= -5.05468e+05 Fmax= 1.10116e+04, atom= 1334
Step=  118, Dmax= 1.4e-02 nm, Epot= -5.05640e+05 Fmax= 9.95159e+03, atom= 1334
Step=  119, Dmax= 1.7e-02 nm, Epot= -5.05535e+05 Fmax= 1.54017e+04, atom= 1334
Step=  120, Dmax= 8.3e-03 nm, Epot= -5.05914e+05 Fmax= 2.73553e+03, atom= 1334
Step=  121, Dmax= 9.9e-03 nm, Epot= -5.05997e+05 Fmax= 1.23231e+04, atom= 1744
Step=  122, Dmax= 1.2e-02 nm, Epot= -5.06330e+05 Fmax= 5.95659e+03, atom= 1744
Step=  123, Dmax= 1.4e-02 nm, Epot= -5.06143e+05 Fmax= 1.59472e+04, atom= 1744
Step=  124, Dmax= 7.1e-03 nm, Epot= -5.06471e+05 Fmax= 5.00253e+03, atom= 1744
Step=  125, Dmax= 8.6e-03 nm, Epot= -5.06562e+05 Fmax= 8.15040e+03, atom= 1744
